PX1,YYYYMM
5.0,197801
8.0,197801
3.0,197801
3.0,197801
50.0,197801
13.0,197801
5.0,197801
0.0,197801
9.0,197801
5.0,197801
3.0,197801
1.0,197801
5.0,197801
0.0,197801
5.0,197801
10.0,197801
7.0,197801
1.0,197801
3.0,197801
7.0,197801
3.0,197801
35.0,197801
10.0,197801
7.0,197801
0.0,197801
0.0,197801
6.0,197801
0.0,197801
10.0,197801
5.0,197801
6.0,197801
5.0,197801
7.0,197801
0.0,197801
3.0,197801
6.0,197801
0.0,197801
3.0,197801
5.0,197801
5.0,197801
10.0,197801
6.0,197801
4.0,197801
15.0,197801
0.0,197801
5.0,197801
8.0,197801
2.0,197801
5.0,197801
4.0,197801
7.0,197801
15.0,197801
0.0,197801
0.0,197801
10.0,197801
